Camping Laconella,42.7588978,10.2973661
Capo Perla,42.7490157,10.4025934
Località Focardo,42.7531686,10.4075261
Località Gualdo,42.7570302,10.3908253
Località la Trappola,42.7389848,10.3748419
Località Naregno,42.7553763,10.4012044
Località Nerici,42.7577623,10.3836143
Località Pinocchiello,42.7422094,10.3822076
Località Ripitino,42.7486788,10.3949488
Località Riptino,42.7467278,10.3933983
Località Salici,42.7474146,10.3747907
Località Straccoligno,42.7459336,10.4024992
Località Vigne Vecchie,42.7510540,10.3875850
Loc. Calanchiole,42.7576828,10.3628992
Piazetta Cappellini,42.7457100,10.3761435
Piazetta La Vantina,42.7459328,10.3765455
Piazetta Marconi,42.7446448,10.3756568
Piazetta XX Settembre,42.7460401,10.3775935
Piazza del Cavatore,42.7428513,10.3805787
Piazza Garibaldi,42.7453013,10.3786500
Piazza Giuseppe Garibaldi,42.7452382,10.3786604
Piazza Matteotti,42.7455693,10.3778887
Pozzo Vecchio,42.7459803,10.3799407
Strada Provinciale Mola-Capoliveri,42.7589655,10.3793652
Strada Provinciale Valdona-Lacona-Marina di Campo,42.7623283,10.2980872
Via Alcide De Gasperi,42.7425246,10.3809797
Via Arnaldo da Brescia,42.7454340,10.3779183
Via Balilla,42.7466139,10.3783202
Via Bartolommeo Sestini,42.7446446,10.3803194
Via Caduti,42.7423229,10.3775702
Via Capo Ai Pini,42.7649383,10.3154290
Via Capo di Stella,42.7587943,10.3167615
Via Cardenti,42.7452025,10.3778770
Via Carubbo,42.7433391,10.3737683
Via Cavalotti,42.7455931,10.3757360
Via Cavour,42.7447792,10.3755513
Via Chioppi,42.7571236,10.3848835
Via Circonvallazione,42.7450357,10.3775688
Via Claris Appiani,42.7442578,10.3797165
Via Colle Reciso,42.7774247,10.3127510
Via Dante Alighieri,42.7454952,10.3789390
Via dei Fichi,42.7721575,10.3123254
Via dei Golfi,42.7604550,10.3140676
Via dei Pian Di Lapi,42.7671475,10.3168370
Via dei Vigneti,42.7638025,10.3065796
Via del Canale,42.7695044,10.3173580
Via del Capo Marinaro,42.7637775,10.3237822
Via delle Grazie,42.7453970,10.3773324
Via del Mare,42.7614069,10.3006270
Via del Margidore,42.7641503,10.3171196
Via del Moletto,42.7591710,10.3129691
Via del Piano,42.7638894,10.3046496
Via del Pinone,42.7601460,10.3113292
Via del Poggio Marcuccio,42.7673727,10.3096726
Via del Porticciolo,42.7601727,10.3166310
Via di Caubbio,42.7636010,10.2921258
Via di Santa Maria,42.7664884,10.3051634
Via Don Vincenzo,42.7435094,10.3802484
