Alta Via dei Monti Liguri,44.0612466,7.7160937
Canale dei Torinesi,44.1750972,7.6920761
Carnino-Gias Saline,44.1577310,7.7400286
Colle del Pas-Pian Ballaur-Cima Saline,44.1735801,7.7202852
cresta del Ferà,44.1424010,7.7197080
Dal Monte Iurin al Gias Soprano del Vaccarile,44.2005702,7.6252534
Gias Saline-Colle Arpetti-Cima Saline,44.1674056,7.7315197
Gias Saline-Passo Saline,44.1692580,7.7421330
Passo del Duca - Passo Scarason,44.1833446,7.6638674
Passo Saline-Cima Saline,44.1746333,7.7385724
Passo Scarason - Cima Marguareis,44.1724374,7.6749187
Porta Biecai-Colle Pas,44.1749403,7.7072710
Rif. Mondovì-P. Saline,44.1796104,7.7467292
Sentiero dei Pastori,44.1461858,7.7183715
Sentiero di cresta Cima Saline,44.1716099,7.7327731
Strada ex-militare Monesi - Col di Tenda,44.1282486,7.6798979
Strada ex-militare Monesi-Tenda,44.0729274,7.7264133
Via A. Lanteri,44.1288495,7.7268967
Via Bertrand,44.1284558,7.7266265
Via IV Novembre,44.1290425,7.7269461
Via Marenca,44.1298240,7.6670320
Via Santa Lucia,44.1287449,7.7272288
Alta Via dei Monti Liguri,44.1338806,7.9371476
Alta Via dei Monti Liguri,44.1071855,7.9094480
Balconata di Ormea,44.1608186,7.9105262
Colla del Pizzo-Pizzo d'Ormea,44.1680929,7.8296287
Gias Gruppetti - Mongioie,44.1745913,7.7653689
Ormea Valdarmella,44.1570489,7.8966726
Piazza San Bartolomeo,44.1440639,7.7833733
Ponte tibetano,44.1510014,7.7492408
Sella Revelli-Bivacco Cavarero,44.1775495,7.8133150
Sella Revelli-Colla del Pizzo,44.1752312,7.8224948
SP 216,44.1215796,7.8920927
Stalla Rossa-Sella Revelli,44.1801144,7.8281664
Variante AVML,44.1087694,7.9121639
Via Borgonza,44.1529455,7.9134722
Via Orti,44.1472972,7.9120304
Via Roma,44.1491099,7.9117186
Via San Bernardino,44.1460658,7.9120237
Alta Via dei Monti Liguri,44.1330818,7.9708371
Avvicinamento allo Sperone N - NO della Rocca dell'Abisso,44.1385089,7.4998160
Colle Fenestrelle - Punta Fenestrelle,44.1584323,7.3568118
Corso Francia,44.2417705,7.4006759
Corso J. F. Kennedy,44.2448362,7.3960022
"Ferrata dei Funs ""Ico Quaranta""",44.2419929,7.4301506
Frazione Trinità,44.2146371,7.4305942
"GTA, 5",44.1818605,7.3189173
Lago Bianco dell'Agnel,44.1246105,7.4222203
MTB experts only,44.2347513,7.4074553
n 40a Passo di Costabella - Passo del Van,44.2489666,7.4165337
