Piazza del Popolo,40.3220769,17.5720498
Piazza San Giovanni,40.3215178,17.5744748
Via Alessandro Manzoni,40.2992391,17.5611729
Via Alessandro Volta,40.3261056,17.5715977
Via Amerigo Vespucci,40.3006058,17.5671548
Via Andrea Doria,40.3007997,17.5699102
Via Angelo Rosiello,40.3186843,17.5734733
Via Archimede,40.3192215,17.5727059
Via Bali Caracci,40.3222411,17.5731965
Via Bartolomeo Diaz,40.3007767,17.5705003
Via Camene,40.3185411,17.5745445
Via Carlo Albertov,40.3211001,17.5724168
Via Carlo Pisacane,40.3217360,17.5690742
Via Castigno,40.3225101,17.5687474
Via Cesare Battisti,40.3157937,17.5719536
Via Ciro Menotti,40.3230269,17.5715586
Via Cristoforo Colombo,40.3019285,17.5664134
Via Crocifisso,40.3229655,17.5733188
Via Dante Alighieri,40.2990612,17.5588946
Via delle Mimose,40.2979201,17.5155297
Via delle Tre Caravelle,40.3038207,17.5669136
Via del Riccio,40.2996232,17.5656327
Via Fratelli Bandiera,40.3218272,17.5699738
Via Gabriele D'Annunzio,40.3167927,17.5718781
Via Giacomo Leopardi,40.2996332,17.5600093
Via Gigli,40.3206239,17.5728110
Via Giordano Bruno,40.3188007,17.5731121
Via Giuseppe Garibaldi,40.3221706,17.5695902
Via Giuseppe Giusti,40.3217765,17.5708124
Via Giuseppe Mazzini,40.3218739,17.5704864
Via Giuseppe Pisanelli,40.3214655,17.5710370
Via Giusti,40.2993941,17.5627619
Via Goffredo Mameli,40.3189194,17.5709987
Via Goldoni,40.3001122,17.5570893
Via Italo Balbo,40.3193093,17.5719512
Via La Nina,40.3011259,17.5661319
Via La Pinta,40.3002532,17.5659177
Via La Santa Maria,40.3010010,17.5685571
Viale dei Pini,40.2967225,17.5175414
Viale dei Pioppi,40.2980917,17.5225540
Via Leonardo Costantino Mele,40.3244579,17.5740879
Via Leonardo da Vinci,40.3169713,17.5676185
Via Ludovico Ariosto,40.3053923,17.5624657
Via Luisa di Savoia,40.3007810,17.5687412
Via Malta,40.3202860,17.5717251
Via Marco Polo,40.2999107,17.5673866
Via Michelangelo Buonarroti,40.3044094,17.5683543
Via Nicola de Pandis,40.3243271,17.5726095
Via O,40.2959950,17.5202269
Via P,40.2960918,17.5195217
Via Pendinelli,40.3249875,17.5007106
Via per Mare,40.3171588,17.5699332
Via per Maruggio,40.3025594,17.5643940
Via Pigafetta,40.3008043,17.5693201
Via Pisconti,40.3186409,17.5697740
Via Pitagora,40.3180400,17.5697532
Via Portofino,40.3026949,17.5674177
Via Raffaello Sanzio,40.3028068,17.5694095
Via Repubblica di Amalfi,40.3022570,17.5678736
Via Repubblica di Genova,40.3034502,17.5675101
Via Repubblica di Pisa,40.3028905,17.5675643
Via Repubblica di Venezia,40.3040836,17.5669258
Via Roma,40.3241753,17.5725605
Via Salentina,40.2977530,17.5310836
Via San Nicolò,40.3179808,17.5725753
Via Tabra,40.3003583,17.5210548
Via Ugo Foscolo,40.2984899,17.5608399
Via Vasco De Gama,40.3018122,17.5696053
Via Vincenzo Bellini,40.3003825,17.5682511
Via Vincenzo Monti,40.3164322,17.5676737
Via Virgilio,40.3224856,17.5745015
Vico Edmondo De Amicis,40.3230535,17.5719931
Borgo degli anemoni,40.3058440,17.6643598
Canale San Nicola,40.3292233,17.6841092
Ciclabile Uggiano Montefusco - Manduria,40.3913627,17.6141692
Contrada Scorcora,40.3123394,17.6432558
Corso 20 Settembre,40.3999206,17.6318955
Corte dei Fiori,40.3995236,17.6339520
Corte dei Pagani,40.3997191,17.6301084
Corte Pietro Maggi,40.4009400,17.6338776
Ex Strada Statale 174 Salentina di Manduria,40.3952304,17.6435930
Lungomare Jonico,40.2972034,17.7418052
Piazza Castello,40.3874507,17.6041337
Piazza Commestibili,40.3994688,17.6369971
Piazza della Liberazione,40.3934730,17.6324501
Piazza della Pietà,40.3930891,17.6379241
Piazza della Repubblica,40.3979924,17.6319477
Piazza Domenico Ciraci,40.3995184,17.6360228
Piazza Garibaldi,40.3991570,17.6356162
Piazza Giannuzzi Marianna,40.4021481,17.6393510
Piazza Giovanni 23°,40.4045865,17.6309618
Piazza Luigi Neglia,40.3952313,17.6429174
Piazza Plinio il Vecchio,40.3993036,17.6388047
Piazza Risorgimento,40.4084935,17.6344786
Piazza Santa Chiara,40.3951599,17.6368560
Piazza Sant'Angelo,40.4001922,17.6293467
Piazza Santissima Croce,40.4050778,17.6421523
Piazza Vittorio Emanuele 2°,40.3975401,17.6369260
Piazza Vittorio Veneto,40.3996311,17.6343433
sentiero del diavolo,40.3438647,17.6701395
Sentiero del diavolo,40.3426736,17.6680869
Sentiero dell'anima,40.3281169,17.6644377
Sentiero dell'anima 2,40.3245613,17.6545280
Sentiero dell'anima 3,40.3309647,17.6242202
Sentiero Monte del Diavolo,40.3439741,17.6694381
Strada di servizio Consorzio dell'Arneo - Ciclovia dell'Acquedotto Pugliese,40.3617912,17.6753129
Strada provinciale Manduria-Oria,40.4040066,17.6301724
tratturo strettissimo,40.3559488,17.5663610
Tunnel rosamarina,40.3335292,17.6753840
Via 113°,40.4051221,17.6158349
