Cortile Rosso,37.6803975,13.3804781
Piazza Umberto 1,37.6814991,13.3791818
Ponte Grande,37.6912661,13.3726890
Salita Real Casina,37.6830737,13.3796935
Salita Teatro,37.6827079,13.3792241
Salti Monsignor Chiacchiaro,37.6824417,13.3790550
Strada Interpoderale Timpe Rosse,37.5794563,13.3720132
Strada Provinciale 34,37.5810989,13.3864073
Strada statale Centro Occidentale Sicula,37.6934276,13.3994788
Strada statale Corleonese Agrigentina,37.7224291,13.4426970
Via Aicella,37.6853741,13.3820580
Via Alessandro Manzoni,37.6797926,13.3776861
Via Barcia,37.6814569,13.3776912
Via Bellomo,37.6816542,13.3799990
Via Buca,37.6795359,13.3785482
Via Camillo Benso Contedi Cavour,37.6795825,13.3781990
Via Canalicchio,37.6807979,13.3808298
Via Cardinale,37.6819693,13.3772325
Via Carpis,37.6798758,13.3809432
Via Casa Nuove,37.6797648,13.3774945
Via Chiara,37.6807244,13.3786197
Via Chiaramonte,37.6818189,13.3778907
Via Chiodo,37.6817004,13.3771300
Via Ciaccio,37.6820104,13.3780316
Via Citadella,37.6802560,13.3796846
Via Ciurli,37.6802434,13.3809189
Via Dante Alighieri,37.6794507,13.3785541
Via di Maggio,37.6813059,13.3774781
Via Felice Cavallotti,37.6807046,13.3778117
Via Figurella,37.6837048,13.3799847
Via Fiume,37.6787455,13.3811772
Via Francesco Crispi,37.6799409,13.3770955
Via Francesco Riso,37.6799625,13.3796714
Via Giordano Bruno,37.6809765,13.3785243
Via Giosuè Carducci,37.6799543,13.3802346
Via Giovannazzi,37.6829520,13.3801120
Via Giovanni Meli,37.6802522,13.3793663
Via Giuseppe la Masa,37.6793887,13.3796568
Via Giuseppe Manzini,37.6804225,13.3793210
Via Giuseppe Verdi,37.6826730,13.3797609
Via IV Aprile,37.6800715,13.3792397
Viale Vittorio Emanuele II,37.6820645,13.3798097
Viale Vittorio Veneto,37.6817173,13.3820715
Via Licursi,37.6800801,13.3810005
Via Linusa,37.6800715,13.3786844
Via Madonna deiMiracoli,37.6824012,13.3777338
Via Mario d'Aleo,37.6820665,13.3803784
Via Messina,37.6830545,13.3787028
Via Miciletta,37.6801446,13.3811653
Via Milazzo,37.6806766,13.3806836
Via Mirespi,37.6835714,13.3797043
Via Molinello,37.6799598,13.3798784
Via Nino Bixio,37.6807496,13.3791146
Via Orlando,37.6798897,13.3802969
Via Ovidio Nasone,37.6825761,13.3800820
Via Pantaleo,37.6793071,13.3814386
Via Parpaglione,37.6824597,13.3768790
Via Piezzetta,37.6804843,13.3781072
Via Portone dell'Orto,37.6823282,13.3804608
Via Rinferna,37.6794933,13.3792713
Via Roma,37.6795220,13.3789267
Via Rosolino Pilo,37.6793447,13.3800874
Via Ruggero Vll,37.6799221,13.3798302
Via Saccaro,37.6821695,13.3769768
Via Salamone,37.6835272,13.3791761
Via Salvatore Alessi,37.6816197,13.3778883
Via Sambuchi,37.6793513,13.3792221
Via Skanderberg,37.6828325,13.3791244
Via Sordacchino,37.6805515,13.3769038
Via Stoppino,37.6819168,13.3775766
Via Vaccaro,37.6810988,13.3773458
Via Vincenzo Bellini,37.6829206,13.3803289
Via Vincenzo Bentivegna,37.6800318,13.3784409
Via Xll Gennaio,37.6800263,13.3795037
Via XX settembre,37.6793928,13.3811424
Via XXVll Maggio,37.6797677,13.3792074
Vicolo Cartiera,37.6794586,13.3801759
Vicolo CHirie,37.6797069,13.3785203
Vicolo Manta,37.6800980,13.3780577
Vicolo Prinzipuzzo,37.6807869,13.3782781
